,Gene,Biomass_p,Arginine,Cysteine,Histidine,Isoleucine,Leucine,Lysine,Methionine,Phenylalanine,Proline,Threonine,Tryptophan,Valine,Glucose,Asparagine,Aspartate,Glutamine,Serine,Tyrosine,,,,,
86,CYSt4,0.0231,-0.0076,-0.0028,-0.0031,-0.0068,-0.0136,-0.0126,-0.0032,-0.006,-0.0077,-0.0089,-0.0011,-0.0109,-0.2044,-0.0514,0,0.0028,0,-0.0046,,,,,
87,CYStec,0.0231,-0.0076,-0.0028,-0.0031,-0.0068,-0.0136,-0.0126,-0.0032,-0.006,-0.0077,-0.0089,-0.0011,-0.0109,-0.2044,-0.0514,0,0.0028,0,-0.0046,,,,,
88,CYSTGLUex,0.0231,-0.0076,-0.0028,-0.0031,-0.0068,-0.0136,-0.0126,-0.0032,-0.006,-0.0077,-0.0089,-0.0011,-0.0109,-0.2044,-0.0514,0,0.0028,0,-0.0046,,,,,
89,CYSTHRNaEx,0.0231,-0.0076,-0.0028,-0.0031,-0.0068,-0.0136,-0.0126,-0.0032,-0.006,-0.0077,-0.0089,-0.0011,-0.0109,-0.2044,-0.0514,0,0.0028,0,-0.0046,,,,,
90,D_LACt2,0.0231,-0.0076,-0.0028,-0.0031,-0.0068,-0.0136,-0.0126,-0.0032,-0.006,-0.0077,-0.0089,-0.0011,-0.0109,-0.2044,-0.0514,0,0.0028,0,-0.0046,,,,,
91,DALAt2r,0.0231,-0.0076,-0.0028,-0.0031,-0.0068,-0.0136,-0.0126,-0.0032,-0.006,-0.0077,-0.0089,-0.0011,-0.0109,-0.2044,-0.0514,0,0.0028,0,-0.0046,,,,,
92,ESTRADIOLGLCt2,0.0231,-0.0076,-0.0028,-0.0031,-0.0068,-0.0136,-0.0126,-0.0032,-0.006,-0.0077,-0.0089,-0.0011,-0.0109,-0.2044,-0.0514,0,0.0028,0,-0.0046,,,,,
93,FATP1t,0.0231,-0.0076,-0.0028,-0.0031,-0.0068,-0.0136,-0.0126,-0.0032,-0.006,-0.0077,-0.0089,-0.0011,-0.0109,-0.2044,-0.0514,0,0.0028,0,-0.0046,,,,,
94,FATP2t,0.0231,-0.0076,-0.0028,-0.0031,-0.0068,-0.0136,-0.0126,-0.0032,-0.006,-0.0077,-0.0089,-0.0011,-0.0109,-0.2044,-0.0514,0,0.0028,0,-0.0046,,,,,
95,FATP3t,0.0231,-0.0076,-0.0028,-0.0031,-0.0068,-0.0136,-0.0126,-0.0032,-0.006,-0.0077,-0.0089,-0.0011,-0.0109,-0.2044,-0.0514,0,0.0028,0,-0.0046,,,,,
96,FATP6t,0.0231,-0.0076,-0.0028,-0.0031,-0.0068,-0.0136,-0.0126,-0.0032,-0.006,-0.0077,-0.0089,-0.0011,-0.0109,-0.2044,-0.0514,0,0.0028,0,-0.0046,,,,,
97,FATP7t,0.0231,-0.0076,-0.0028,-0.0031,-0.0068,-0.0136,-0.0126,-0.0032,-0.006,-0.0077,-0.0089,-0.0011,-0.0109,-0.2044,-0.0514,0,0.0028,0,-0.0046,,,,,
98,FATP8t,0.0231,-0.0076,-0.0028,-0.0031,-0.0068,-0.0136,-0.0126,-0.0032,-0.006,-0.0077,-0.0089,-0.0011,-0.0109,-0.2044,-0.0514,0,0.0028,0,-0.0046,,,,,
99,FATP9t,0.0231,-0.0076,-0.0028,-0.0031,-0.0068,-0.0136,-0.0126,-0.0032,-0.006,-0.0077,-0.0089,-0.0011,-0.0109,-0.2044,-0.0514,0,0.0028,0,-0.0046,,,,,
